Place,Location,Review
Mothers Veg Plaza,Trivandrum,"We visited the restaurant for Sadhya but were informed that it's only served in the afternoon. We decided to order a few dishes and finish the dinner. We ordered a Mysore masala dosa, mushroom cream soup, idiyappam with chenna masala (as …"
Mothers Veg Plaza,Trivandrum,Best place to have authentic Kerala style vegetarian meals on a banana leaf. Awesome taste and its very filling.
Mothers Veg Plaza,Trivandrum,"The restaurant is bustling with a large number of customers and is very hectic. During lunchtime, the place is crowded and one must wait to receive the traditional sadya meals. They also offer a selection of dosa's, appams and other dishes."
Mothers Veg Plaza,Trivandrum,"Finger licking sadhya served with motherly love! Each item on your banana leaf will leave a special mark on your taste buds leaving you craving for more.
No matter how full you get, DO NOT MISS the sweetest part - 4 unforgettably …"
Mothers Veg Plaza,Trivandrum,"Must visit
Soul food
True sadhya experience highly recommended …"
Mothers Veg Plaza,Trivandrum,"Tried sadhya here which is famous
First time I tried sadhya and it was awesome
Firstly it was spicy …"
Mothers Veg Plaza,Trivandrum,"Please don't give an online order from this restaurant. They don't provide you all items.  They will cheat you  by pouring water on inchi pickle and all.  For kerala sadhya, they are charging 275 rs.  But it's not all worth for customers. …"
Mothers Veg Plaza,Trivandrum,"Just the number of items otherwise food quality was terrible, dal curry was very watery, paysam were disgusting, pineapple payasam was just essense. Employees never washed their hands after using restroom."
Mothers Veg Plaza,Trivandrum,"We tried Appam with kadala Cury vfm
Mother's spl Dosa was delicious
Tried Tomato soup & Manchurian soup = good"
Mothers Veg Plaza,Trivandrum,Just not able to understand the hype about this restaurant. Found the place to be chaotic on every visit. …
Mothers Veg Plaza,Trivandrum,"First of all very crowded place and i saw no staff to control it which is a huge let down. Most of the people were there to have the sadhya probably. Place also needs more staffs because i had to wait 5 mints to order.Coming to the food,Had …"
Mothers Veg Plaza,Trivandrum,"Amazing sadhya, available 365 days a year. Made with passion and love, you can enjoy authentic full sadhya for only 250 rupees. Expect long queues, but the crowd moves fast and efficiently. Very friendly service, with the owner even visiting each table to explain about the food and to get feedbacks. Not to be missed"
Mothers Veg Plaza,Trivandrum,"Amazing vegan options! The food was delicious, fresh, and creatively presented. Friendly staff, cozy atmosphere, and great value. Highly recommend!!"
Mothers Veg Plaza,Trivandrum,"We had visited this place a few days back. It was a Sunday. We had read so many positive reviews, but honestly I am disappointed.
First the crowd management. It was crowded and it was like -might is right. …"
Zam Zam Restaurant,Trivandrum,"Dined here a few months back. The food was delicious! (Just like ever!) The shawayya chicken was the best. BUT the shocking thing was the quality of the plates and glasses. It had too much wear and tear. Management, please get this fixed"
Zam Zam Restaurant ,Trivandrum,"During my 5 day stay in Trivandrum, I ate at zam zam three-four times. I tried Mandi, Biryani, Chilli Chicken, Parotta, Chapati and many other ice creams. I liked their food very much. I got the authentic taste of Kerala. This is a very …"
Zam Zam Restaurant ,Trivandrum,"Good polite staff ..
You need to wait to get seating...
Had 2 starter.. quantity was very low.  Taste also not that good. …"
Zam Zam Restaurant,Trivandrum,"Disappointing Experience at Zam Zam, Palayam, Trivandrum
I recently visited Zam Zam at Palayam, Trivandrum, and unfortunately, it was a …"
Zam Zam Restaurant ,Trivandrum,Had  peri peri alfaham and chicken shawaya with Mandi rice. Overpriced dish with average taste. Chicken shawaya was properly cooked but alfaham piece was a bit under cooked.
Zam Zam Restaurant ,Trivandrum,"Located in Trivandrum, we had dinner here on the way to the International airport. The food was good as we tried a variety of food ( Porotta, chicken noodles, Chicken Fried Rice, ghee roast, and butter chicken). We also had pineapple juice …"
Zam Zam Restaurant ,Trivandrum,"The food was great and delicious, but the restaurant was a bit congested, located in the prime area. The food was decent, service was good, maintenance was not up to the mark, food taste was very good with reasonable pricing and decent menu. need to pay for the parking."
Zam Zam Restaurant ,Trivandrum,"Visited the Zam Zam in Trivandrum, not upto the level of Calicut Zam zam . Food taste is of an average hotel.
Dining space is too much congested."
Zam Zam Restaurant ,Trivandrum,"I went to Zam Zam Restaurant at Palayam and really enjoyed it. The food was very good and delicious. The service was great, and the place was clean. It did feel a bit crowded, but overall, it's a nice place to eat."
Zam Zam Restaurant ,Trivandrum,Me and my son going there and ordered two single chicken biriyani. The biriyaani was like waste. Smell like ration rice and no masaala no taste at all.... If anybody go there pls not ordered chicken biriyaani... Waste of my money.
Zam Zam Restaurant ,Trivandrum,"Whatever Tania Highly Recommend !
Another gem in Trivandrum, a delight for non veg lovers. Really loved their yummy and pocket friendly combos ! Service was also prompt, a bit crowded but overall Whatever Tania loved her food episode here !!"
Zam Zam Restaurant ,Trivandrum,Theri restaurant seems very cosy but their foods are very overpriced and overhyped. For a single shamam shake they charge 115 rupees. Which we get around 80-90 rupees in nearby shops of better quality and quantity than this. Don't give a try guys. 🫥 …
Zam Zam Restaurant ,Trivandrum,"Foods are mostly spicy, and the staff recommended to me patiently.
The mutton stew is fantastic."
Zam Zam Restaurant ,Trivandrum,Zam zam restaurant  is one of the best option in Trivandrum. Certain food options they serve are  budget friendly. …
Zam Zam Restaurant ,Trivandrum,"I had the most amazing experience at this restaurant in Trivandrum! It's a well-known spot and the hype is real. I just had to see for myself, and I was not disappointed. …"
Zam Zam Restaurant ,Trivandrum,"I recently had the pleasure of trying the Cream Cheese Kunafa, and it was a delightful experience. This dessert isn't overly sweet, making it perfect for those who prefer a balanced treat. The magic lies in how the sugar syrup absorbs into …"
Zam Zam Restaurant ,Trivandrum,Shawai not cooked properly. Not tasty shawarma and chicken lollipop was over fried and very hard to tear so we returned . ...very bad and waste of money😔 …
Zam Zam Restaurant ,Trivandrum,Someday the food is great. SOMEDAY ITS not. Simple like that. Quater shawaya combo for 148 with lime juice as of Jan 8 2024.
Zam Zam Restaurant ,Trivandrum,I recently brought shwwaya as a take away  and was disappointed as the chicken still looked kind of raw.Zam zam  usually provides good quality food for dining and takeaway. This is the first time such an incident has occured
Zam Zam Restaurant ,Trivandrum,"Ordered chicken Shawarma and mint juice.Shawarma was so pathetically packed,literally it was soaked in Mayo..so much messy ,on one side it's expensive and they give such horrible food . Very disappointed,never expected this .The only good …"
